time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-17 00:00:00+00:00,16.0,6.0,84,5
2023-09-18 00:00:00+00:00,18.0,9.0,45,9
2023-09-19 00:00:00+00:00,9.0,5.0,32,11
2023-09-20 00:00:00+00:00,15.0,5.0,47,11
2023-09-21 00:00:00+00:00,8.0,2.0,15,5
2023-09-22 00:00:00+00:00,7.0,3.0,438,6
2023-09-23 00:00:00+00:00,4.0,2.0,44,7
2023-09-24 00:00:00+00:00,2.0,1.0,55,8
2023-09-25 00:00:00+00:00,7.0,3.0,72,13
2023-09-26 00:00:00+00:00,26.0,7.0,116,13
2023-09-27 00:00:00+00:00,9.0,1.0,99,12
2023-09-28 00:00:00+00:00,2.0,2.0,44,10
2023-09-29 00:00:00+00:00,3.0,2.0,119,11
2023-09-30 00:00:00+00:00,,,11,3
